,Currency,Timestamp,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),trade-volume_x,miners-revenue_x,cost-per-transaction_x,n-unique-addresses_x,difficulty_x,market-cap_x,n-transactions-total_x,total-bitcoins_x,transaction-fees_x,output-volume_x,utxo-count_x,estimated-transaction-volume_x,n-transactions_x,market-price_x,n-payments_x,my-wallet-n-users_x,n-transactions-excluding-popular_x,blocks-size_x,trade-volume_y,miners-revenue_y,cost-per-transaction_y,n-unique-addresses_y,difficulty_y,market-cap_y,n-transactions-total_y,total-bitcoins_y,transaction-fees_y,output-volume_y,utxo-count_y,estimated-transaction-volume_y,n-transactions_y,market-price_y,n-payments_y,my-wallet-n-users_y,n-transactions-excluding-popular_y,blocks-size_y,blocks-size
16,BTC,2013-10-17,137.92333,142.76333,145.601,136.01466000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BTC,2013-10-18,142.95166,137.92333,144.311,137.53966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BTC,2013-10-19,152.55183,142.95166,152.6685,142.47949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BTC,2013-10-20,160.33883,152.55183,167.07998999999998,152.5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BTC,2013-10-21,164.31499,160.33883,164.3315,159.89666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BTC,2013-10-22,177.63333,164.31499,177.71166000000002,163.87149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BTC,2013-10-23,188.29716000000002,177.63333,188.82383000000002,177.11399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BTC,2013-10-24,200.70166,188.29716000000002,202.34333,185.81683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BTC,2013-10-25,180.355,200.70166,201.33316000000002,158.72216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BTC,2013-10-26,175.03166000000002,180.355,184.09033,162.56466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BTC,2013-10-27,177.6965,175.03166000000002,180.3185,174.74483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BTC,2013-10-28,187.15983,177.6965,188.3985,174.9035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BTC,2013-10-29,192.75666,187.15983,192.83983,185.88116000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BTC,2013-10-30,197.4,192.75666,198.41366000000002,191.62716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BTC,2013-10-31,196.02499,197.4,198.79333,192.83366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BTC,2013-11-01,198.04883,196.02499,198.57,195.02916000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BTC,2013-11-02,198.93233,198.04883,199.09783000000002,195.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,BTC,2013-11-03,200.543,198.93233,201.24116,198.71016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BTC,2013-11-04,210.3075,200.543,211.17132999999998,200.296,,1170149.90952589,24.4193307357393,,,,26440582.0,,51.82985587,,,,45523.0,,,,,12133.256855,,1170149.90952589,24.4193307357393,,,,26440582.0,,51.82985587,,,,45523.0,,,,,12133.256855,12133.256855
35,BTC,2013-11-05,225.02,210.3075,227.02832999999998,209.23333,6524796.7575,,,97335.0,390928787.63808596,,,,,1115521.37805375,,,,229.95,,,51597.0,,6524796.7575,,,97335.0,390928787.63808596,,,,,1115521.37805375,,,,229.95,,,51597.0,,
36,BTC,2013-11-06,248.25332999999998,225.02,248.32116000000002,221.84832999999998,,,,,,,,,,,,228992.44527013,,,,,,,,,,,,,,,,,,228992.44527013,,,,,,,
37,BTC,2013-11-07,262.32666,248.25332999999998,262.67166000000003,242.95166,,1054946.58315642,16.720766232746197,,,,26593539.0,,128.50248332,,,,60535.0,,,,,12214.586234,,1054946.58315642,16.720766232746197,,,,26593539.0,,128.50248332,,,,60535.0,,,,,12214.586234,12214.586234
