Timestamp,market-cap
2020-12-18 04:46:10,426134281781.25
2020-12-18 07:22:12,425904542937.5
2020-12-18 10:43:57,428386638287.5
2020-12-18 13:20:14,426392348175.00006
2020-12-18 15:47:38,417358323406.25
2020-12-18 18:29:09,423323139334.375
2020-12-18 20:33:59,423437008725
2020-12-18 23:04:19,427804642518.75
2020-12-19 02:36:09,428745120487.5
2020-12-19 04:32:03,429917796374.9999
2020-12-19 07:14:16,425397223246.875
2020-12-19 09:15:15,427610103843.75
2020-12-19 13:26:29,428857094453.125
2020-12-19 15:16:27,437729301000.00006
2020-12-19 17:41:00,445459215381.24994
2020-12-19 20:00:11,443056221543.75
2020-12-19 21:57:25,446207340093.75
2020-12-20 01:06:22,436708357837.49994
2020-12-20 03:33:51,434212392968.75
2020-12-20 05:27:03,436629761437.5
2020-12-20 08:16:27,438118350343.75
2020-12-20 10:48:04,436151773750
2020-12-20 12:58:56,435225450581.25
2020-12-20 16:40:26,442407742668.75
2020-12-20 20:18:35,447723171728.12506
2020-12-20 22:44:29,436263924037.50006
2020-12-21 01:31:51,439740277359.375
2020-12-21 04:55:32,445520204468.75
2020-12-21 08:02:25,446145081900
2020-12-21 10:37:44,423325666250
2020-12-21 12:41:55,413965025253.4979
2020-12-21 15:49:15,428643764178.12494
2020-12-21 17:49:00,422106962137.5
2020-12-21 21:39:51,425341866734.375
2020-12-22 01:10:28,419575942937.5
2020-12-22 03:32:04,424287943375
2020-12-22 06:08:31,421522269384.375
2020-12-22 09:22:56,423642567868.75
2020-12-22 12:25:37,430360962593.75
2020-12-22 16:01:12,434023324350
2020-12-22 17:43:34,433217651328.125
2020-12-22 20:44:11,433090080206.25
2020-12-23 01:02:50,446051056443.75
2020-12-23 03:24:10,439439625800
2020-12-23 05:46:46,435401270321.875
2020-12-23 07:57:04,437726111906.25
2020-12-23 10:49:53,437830799262.5
2020-12-23 13:16:34,442858929412.5
2020-12-23 16:13:10,436126526962.5
2020-12-23 19:04:29,438702245468.75006
2020-12-23 22:13:38,433186689203.125
2020-12-24 00:39:35,427420247250
2020-12-24 03:30:12,424310615859.37506
2020-12-24 05:53:58,428874349487.5
2020-12-24 08:29:17,433001510718.74994
2020-12-24 11:12:28,429873277937.5
2020-12-24 14:12:22,434604341418.75
2020-12-24 19:47:55,433584921900
2020-12-24 23:43:49,440127629549.99994
2020-12-25 01:59:15,438179214900
2020-12-25 03:29:54,437039025609.375
2020-12-25 06:32:11,438165645775
2020-12-25 09:35:14,443129176568.75
2020-12-25 12:10:51,457271642250
2020-12-25 15:47:49,447612224812.5
2020-12-25 18:54:34,450374053593.75
2020-12-25 22:09:52,454055675596.875
2020-12-26 00:49:05,457337844950
2020-12-26 04:31:32,462085328318.68854
2020-12-26 08:23:10,462062896706.25
