Timestamp,total-bitcoins
2020-07-03 13:35:44,18421925
2020-07-03 19:43:27,18422143.75
2020-07-03 23:43:38,18422362.5
2020-07-04 05:11:15,18422581.25
2020-07-04 10:11:05,18422800
2020-07-04 15:38:44,18423018.75
2020-07-04 20:38:25,18423237.5
2020-07-05 02:29:53,18423456.25
2020-07-05 08:15:08,18423675
2020-07-05 13:24:06,18423893.75
2020-07-05 17:35:58,18424112.5
2020-07-05 23:11:10,18424331.25
2020-07-06 05:40:01,18424550
2020-07-06 11:48:32,18424768.75
2020-07-06 15:55:04,18424987.5
2020-07-06 21:04:28,18425218.75
2020-07-07 01:32:38,18425437.5
2020-07-07 05:37:31,18425656.25
2020-07-07 12:23:48,18425881.25
2020-07-07 17:35:34,18426100
2020-07-07 23:33:47,18426318.75
2020-07-08 04:46:29,18426537.5
2020-07-08 10:28:15,18426756.25
2020-07-08 16:33:26,18426975
2020-07-08 20:47:12,18427193.75
2020-07-09 03:15:49,18427425
2020-07-09 08:11:27,18427643.75
2020-07-09 13:14:26,18427862.5
2020-07-09 17:57:40,18428081.25
2020-07-09 23:38:30,18428300
2020-07-10 04:49:31,18428525
2020-07-10 10:06:33,18428743.75
2020-07-10 16:12:17,18428962.5
2020-07-10 21:03:27,18429181.25
2020-07-11 02:12:57,18429400
2020-07-11 07:15:40,18429618.75
2020-07-11 12:35:20,18429837.5
2020-07-11 18:41:20,18430056.25
2020-07-11 23:44:00,18430275
2020-07-12 07:07:57,18430493.75
2020-07-12 12:19:38,18430712.5
2020-07-12 17:29:38,18430931.25
2020-07-12 21:53:07,18431150
2020-07-13 02:44:15,18431368.75
2020-07-13 08:01:18,18431587.5
2020-07-13 14:08:20,18431806.25
2020-07-13 19:24:22,18432025
2020-07-14 02:34:45,18432243.75
2020-07-14 10:40:38,18432462.5
2020-07-14 15:40:16,18432687.5
2020-07-14 19:06:04,18432906.25
2020-07-15 00:40:33,18433125
2020-07-15 06:54:13,18433343.75
2020-07-15 11:58:17,18433562.5
2020-07-15 19:33:04,18433781.25
2020-07-16 02:00:52,18434000
2020-07-16 07:35:13,18434218.75
2020-07-16 13:32:49,18434437.5
2020-07-16 19:16:59,18434656.25
2020-07-17 02:26:31,18434875
2020-07-17 10:07:37,18435093.75
2020-07-17 17:10:02,18435312.5
2020-07-18 00:42:42,18435531.25
2020-07-18 07:13:19,18435750
2020-07-18 13:17:52,18435968.75
2020-07-18 19:42:02,18436193.75
2020-07-19 02:59:14,18436412.5
2020-07-19 09:46:55,18436637.5
2020-07-19 15:26:02,18436856.25
2020-07-19 20:53:51,18437075
2020-07-20 02:53:29,18437293.75
2020-07-20 07:43:10,18437512.5
2020-07-20 15:30:12,18437731.25
2020-07-20 21:39:28,18437950
2020-07-21 03:24:18,18438168.75
2020-07-21 10:12:41,18438387.5
2020-07-21 17:20:57,18438606.25
2020-07-22 00:33:28,18438825
2020-07-22 06:24:31,18439043.75
2020-07-22 12:05:50,18439262.5
2020-07-22 17:40:46,18439481.25
2020-07-22 23:42:11,18439700
2020-07-23 07:28:45,18439918.75
2020-07-23 12:28:54,18440137.5
