Timestamp,estimated-transaction-volume
2011-11-13 23:00:00,167542.67912821
2011-11-16 23:00:00,3081420.66066416
2011-11-19 23:00:00,162991.43839613
2011-11-22 23:00:00,1168101.13271781
2011-11-25 23:00:00,172277.95150505
2011-11-28 23:00:00,3007337.78828949
2011-12-01 23:00:00,4680989.8020611
2011-12-04 23:00:00,2822094.18159572
2011-12-07 23:00:00,3403173.2941901
2011-12-10 23:00:00,302281.24919026
2011-12-13 23:00:00,144701.26590656
2011-12-16 23:00:00,145312.68856718
2011-12-19 23:00:00,230724.61993799
2011-12-22 23:00:00,112634.11971396
2011-12-25 23:00:00,113895.45820249
2011-12-28 23:00:00,135715.29988251
2011-12-31 23:00:00,201609.04830984
2012-01-03 23:00:00,139580.30543948
2012-01-06 23:00:00,102288.17674848
2012-01-09 23:00:00,122488.96200758
2012-01-12 23:00:00,176637.13777532
2012-01-15 23:00:00,164179.83117813
2012-01-18 23:00:00,185640.93314246
2012-01-21 23:00:00,71723.36177551
2012-01-24 23:00:00,166343.25534861
2012-01-27 23:00:00,112091.39667633
2012-01-30 23:00:00,106081.3413366
2012-02-02 23:00:00,136378.39365661
2012-02-05 23:00:00,135459.30851316
2012-02-08 23:00:00,89959.41793338
2012-02-11 23:00:00,120876.56860285
2012-02-14 23:00:00,466114.11857376
2012-02-17 23:00:00,132781.62622826
2012-02-20 23:00:00,129796.64830597
2012-02-23 23:00:00,195684.93662901
2012-02-26 23:00:00,121501.15885747
2012-02-29 23:00:00,235966.41546816
2012-03-03 23:00:00,92806.75502751
2012-03-06 23:00:00,125157.03449166
2012-03-09 23:00:00,94988.4741418
2012-03-13 00:00:00,175756.85169492
2012-03-16 00:00:00,149658.13463064
2012-03-19 00:00:00,146298.39450862
2012-03-22 00:00:00,151253.49823328
2012-03-25 00:00:00,157024.2438571
2012-03-28 00:00:00,149775.89668238
2012-03-31 00:00:00,129300.857407
2012-04-03 00:00:00,162582.05540081
2012-04-06 00:00:00,208321.08812392
2012-04-09 00:00:00,362581.5874283
2012-04-12 00:00:00,242084.87779754
2012-04-15 00:00:00,100141.85598688
2012-04-18 00:00:00,198351.01311539
2012-04-21 00:00:00,203116.07459475
2012-04-24 00:00:00,173499.91838947
2012-04-27 00:00:00,168066.73371814
2012-04-30 00:00:00,141584.76301411
2012-05-03 00:00:00,165785.40422591
2012-05-06 00:00:00,206138.19793918
2012-05-09 00:00:00,282635.20174668
2012-05-12 00:00:00,185906.6426037
2012-05-15 00:00:00,256654.85396349
2012-05-18 00:00:00,219896.57280675
2012-05-21 00:00:00,250850.34882328
2012-05-24 00:00:00,170269.38087456
2012-05-27 00:00:00,216231.00341462
2012-05-30 00:00:00,268188.26977826
2012-06-02 00:00:00,174343.03922188
2012-06-05 00:00:00,264226.02321203
2012-06-08 00:00:00,259419.45188789
2012-06-11 00:00:00,240005.27273495
2012-06-14 00:00:00,230389.68664537
2012-06-17 00:00:00,234604.86911723
2012-06-20 00:00:00,320039.1397631
2012-06-23 00:00:00,154294.92207742
2012-06-26 00:00:00,374614.07267228
2012-06-29 00:00:00,179967.77333521
2012-07-02 00:00:00,270940.70229306
2012-07-05 00:00:00,225810.84551814
2012-07-08 00:00:00,150054.00120655
2012-07-11 00:00:00,232220.49193287
2012-07-14 00:00:00,279670.86911178
2012-07-17 00:00:00,491660.31477147
2012-07-20 00:00:00,289348.57801738
2012-07-23 00:00:00,273368.13131264
2012-07-26 00:00:00,282119.9149959
2012-07-29 00:00:00,261328.27150326
2012-08-01 00:00:00,322303.13777098
2012-08-04 00:00:00,175518.73386973
2012-08-07 00:00:00,244427.3034898
2012-08-10 00:00:00,226661.86209079
2012-08-13 00:00:00,290265.91044982
2012-08-16 00:00:00,321185.32408253
2012-08-19 00:00:00,913653.23041628
2012-08-22 00:00:00,456888.67143852
2012-08-25 00:00:00,228321.64295305
2012-08-28 00:00:00,255983.62998941
2012-08-31 00:00:00,486867.88043682
2012-09-03 00:00:00,204079.68243749
2012-09-06 00:00:00,329183.32959539
2012-09-09 00:00:00,552929.61634701
2012-09-12 00:00:00,334865.49339417
2012-09-15 00:00:00,244552.43705464
2012-09-18 00:00:00,316970.86642026
2012-09-21 00:00:00,606628.777855839
2012-09-24 00:00:00,369204.74882906
2012-09-27 00:00:00,334772.81756026
2012-09-30 00:00:00,246978.19870803
2012-10-03 00:00:00,322573.60874714
2012-10-06 00:00:00,178707.41514945
2012-10-09 00:00:00,276312.96299025
2012-10-12 00:00:00,253149.14095269
2012-10-15 00:00:00,246898.91231922
2012-10-18 00:00:00,282881.13044481
